alpha,block_size,key_range,success_rate
1.03,4,100,0.982
1.03,4,100,0.984
1.03,4,100,0.974
1.03,4,100,0.982
1.03,4,100,0.977
1.03,4,100,0.975
1.03,4,100,0.981
1.03,4,100,0.965
1.03,4,100,0.981
1.03,4,100,0.981
1.03,4,100,0.978
1.03,4,100,0.979
1.03,4,100,0.967
1.03,4,100,0.98
1.03,4,100,0.979
1.03,4,100,0.979
1.03,4,100,0.97
1.03,4,100,0.968
1.03,4,100,0.983
1.03,4,100,0.968
1.03,4,100,0.978
1.03,4,100,0.964
1.03,4,100,0.977
1.03,4,100,0.973
1.03,4,100,0.978
1.03,4,100,0.968
1.03,4,100,0.973
1.03,4,100,0.977
1.03,4,100,0.969
1.03,4,100,0.977
1.03,4,100,0.976
1.03,4,100,0.978
1.03,4,100,0.973
1.03,4,100,0.972
1.03,4,100,0.977
1.03,8,100,0.931
1.03,8,100,0.95
1.03,8,100,0.946
1.03,8,100,0.956
1.03,8,100,0.949
1.03,8,100,0.959
1.03,8,100,0.949
1.03,8,100,0.949
1.03,8,100,0.944
1.03,8,100,0.945
1.03,8,100,0.937
1.03,8,100,0.955
1.03,8,100,0.941
1.03,8,100,0.938
1.03,8,100,0.943
1.03,8,100,0.951
1.03,8,100,0.936
1.03,8,100,0.941
1.03,8,100,0.943
1.03,8,100,0.941
1.03,8,100,0.945
1.03,8,100,0.939
1.03,8,100,0.938
1.03,8,100,0.933
1.03,8,100,0.94
1.03,8,100,0.95
1.03,8,100,0.945
1.03,8,100,0.958
1.03,8,100,0.954
1.03,8,100,0.95
1.03,8,100,0.941
1.03,8,100,0.96
1.03,8,100,0.951
1.03,8,100,0.942
1.03,8,100,0.943
1.03,8,100,0.954
1.03,8,100,0.952
1.03,8,100,0.942
1.03,8,100,0.958
1.03,8,100,0.938
1.03,8,100,0.941
1.03,8,100,0.943
1.03,8,100,0.95
1.03,8,100,0.943
1.03,8,100,0.951
1.03,8,100,0.939
1.03,8,100,0.934
1.03,8,100,0.959
1.03,8,100,0.937
1.03,8,100,0.952
1.03,16,100,0.8819444444444444
1.03,16,100,0.8779761904761905
1.03,16,100,0.8918650793650794
1.03,16,100,0.8829365079365079
1.03,16,100,0.8829365079365079
1.03,16,100,0.8978174603174603
1.03,16,100,0.9007936507936508
1.03,16,100,0.9047619047619048
1.03,16,100,0.8988095238095238
1.03,16,100,0.8849206349206349
1.03,16,100,0.875
1.03,16,100,0.8968253968253969
1.03,16,100,0.8809523809523809
1.03,16,100,0.8819444444444444
1.03,16,100,0.8928571428571429
1.03,16,100,0.8958333333333334
1.03,16,100,0.9107142857142857
1.03,16,100,0.8640873015873016
1.03,16,100,0.8839285714285714
1.03,16,100,0.9077380952380952
1.03,16,100,0.8898809523809523
1.03,16,100,0.8908730158730159
1.03,16,100,0.8958333333333334
1.03,16,100,0.8571428571428571
1.03,16,100,0.8869047619047619
1.03,16,100,0.8908730158730159
1.03,16,100,0.876984126984127
1.03,16,100,0.9037698412698413
1.03,16,100,0.8809523809523809
1.03,16,100,0.8849206349206349
1.03,16,100,0.8968253968253969
1.03,16,100,0.8839285714285714
1.03,16,100,0.9027777777777778
1.03,16,100,0.8988095238095238
1.03,16,100,0.8898809523809523
1.03,16,100,0.8988095238095238
1.03,16,100,0.8948412698412699
1.03,16,100,0.873015873015873
1.03,16,100,0.8759920634920635
1.03,16,100,0.9097222222222222
1.03,16,100,0.8680555555555556
1.03,16,100,0.8908730158730159
1.03,16,100,0.8918650793650794
1.03,16,100,0.8779761904761905
1.03,16,100,0.9057539682539683
1.03,16,100,0.8988095238095238
1.03,16,100,0.9057539682539683
1.03,16,100,0.8779761904761905
1.03,16,100,0.8690476190476191
1.03,16,100,0.8839285714285714
1.03,32,100,0.8095703125
1.03,32,100,0.802734375
1.03,32,100,0.7978515625
1.03,32,100,0.8037109375
1.03,32,100,0.7998046875
1.03,32,100,0.8095703125
1.03,32,100,0.8017578125
1.03,32,100,0.771484375
1.03,32,100,0.8056640625
1.03,32,100,0.7705078125
1.03,32,100,0.8076171875
1.03,32,100,0.7939453125
1.03,32,100,0.802734375
1.03,32,100,0.8056640625
1.03,32,100,0.76953125
1.03,32,100,0.763671875
1.03,32,100,0.7783203125
1.03,32,100,0.802734375
1.03,32,100,0.818359375
1.03,32,100,0.8037109375
1.03,32,100,0.787109375
1.03,32,100,0.8037109375
1.03,32,100,0.8173828125
1.03,32,100,0.80078125
1.03,32,100,0.7822265625
1.03,32,100,0.7939453125
1.03,32,100,0.806640625
1.03,32,100,0.8193359375
1.03,32,100,0.7763671875
1.03,32,100,0.798828125
1.03,32,100,0.76953125
1.03,32,100,0.8076171875
1.03,32,100,0.822265625
1.03,32,100,0.787109375
1.03,32,100,0.787109375
1.03,32,100,0.7763671875
1.03,32,100,0.796875
1.03,32,100,0.796875
1.03,32,100,0.79296875
1.03,32,100,0.8095703125
1.03,32,100,0.791015625
1.03,32,100,0.818359375
1.03,32,100,0.78515625
1.03,32,100,0.7998046875
1.03,32,100,0.81640625
1.03,32,100,0.7724609375
1.03,32,100,0.80078125
1.03,32,100,0.8134765625
1.03,32,100,0.818359375
1.03,32,100,0.8076171875
1.03,64,100,0.681640625
1.03,64,100,0.6787109375
1.03,64,100,0.7119140625
1.03,64,100,0.6767578125
1.03,64,100,0.6806640625
1.03,64,100,0.6884765625
1.03,64,100,0.6669921875
1.03,64,100,0.6943359375
1.03,64,100,0.685546875
1.03,64,100,0.6826171875
1.03,64,100,0.6708984375
1.03,64,100,0.6728515625
1.03,64,100,0.7177734375
1.03,64,100,0.681640625
1.03,64,100,0.685546875
1.03,64,100,0.701171875
1.03,64,100,0.685546875
1.03,64,100,0.6376953125
1.03,64,100,0.69921875
1.03,64,100,0.6611328125
1.03,64,100,0.6748046875
1.03,64,100,0.6826171875
1.03,64,100,0.6591796875
1.03,64,100,0.69140625
1.03,64,100,0.6884765625
1.03,64,100,0.671875
1.03,64,100,0.6767578125
1.03,64,100,0.68359375
1.03,64,100,0.6611328125
1.03,64,100,0.6416015625
1.03,64,100,0.669921875
1.03,64,100,0.6728515625
1.03,64,100,0.703125
1.03,64,100,0.6806640625
1.03,64,100,0.6640625
1.03,64,100,0.685546875
1.03,64,100,0.6640625
1.03,64,100,0.6650390625
1.03,64,100,0.6806640625
1.03,64,100,0.6611328125
1.03,64,100,0.685546875
1.03,64,100,0.6591796875
1.03,64,100,0.68359375
1.03,64,100,0.666015625
1.03,64,100,0.6826171875
1.03,64,100,0.697265625
1.03,64,100,0.68359375
1.03,64,100,0.67578125
1.03,64,100,0.6787109375
1.03,64,100,0.642578125
1.03,8,20,0.83
1.03,8,20,0.832
1.03,8,20,0.831
1.03,8,20,0.826
1.03,8,20,0.833
1.03,8,20,0.854
1.03,8,20,0.818
1.03,8,20,0.846
1.03,8,20,0.83
1.03,8,20,0.842
1.03,8,20,0.845
1.03,8,20,0.838
1.03,8,20,0.843
1.03,8,20,0.858
1.03,8,20,0.828
1.03,8,20,0.841
1.03,8,20,0.844
1.03,8,20,0.838
1.03,8,20,0.833
1.03,8,20,0.828
1.03,8,20,0.861
1.03,8,20,0.824
1.03,8,20,0.833
1.03,8,20,0.837
1.03,8,20,0.828
1.03,8,20,0.845
1.03,8,20,0.858
1.03,8,20,0.825
1.03,8,20,0.841
1.03,8,20,0.841
1.03,8,20,0.837
1.03,8,20,0.828
1.03,8,20,0.844
1.03,8,20,0.838
1.03,8,20,0.852
1.03,8,20,0.839
1.03,8,20,0.846
1.03,8,20,0.847
1.03,8,20,0.838
1.03,8,20,0.828
1.03,8,20,0.849
1.03,8,20,0.829
1.03,8,20,0.82
1.03,8,20,0.847
1.03,8,20,0.834
1.03,8,20,0.845
1.03,8,20,0.816
1.03,8,20,0.838
1.03,8,20,0.835
1.03,8,20,0.83
1.03,8,40,0.896
1.03,8,40,0.911
1.03,8,40,0.909
1.03,8,40,0.905
1.03,8,40,0.905
1.03,8,40,0.918
1.03,8,40,0.912
1.03,8,40,0.906
1.03,8,40,0.906
1.03,8,40,0.915
1.03,8,40,0.892
1.03,8,40,0.901
1.03,8,40,0.896
1.03,8,40,0.905
1.03,8,40,0.895
1.03,8,40,0.896
1.03,8,40,0.903
1.03,8,40,0.927
1.03,8,40,0.915
1.03,8,40,0.896
1.03,8,40,0.916
1.03,8,40,0.927
1.03,8,40,0.911
1.03,8,40,0.916
1.03,8,40,0.895
1.03,8,40,0.908
1.03,8,40,0.903
1.03,8,40,0.915
1.03,8,40,0.907
1.03,8,40,0.901
1.03,8,40,0.917
1.03,8,40,0.905
1.03,8,40,0.903
1.03,8,40,0.921
1.03,8,40,0.911
1.03,8,40,0.907
1.03,8,40,0.891
1.03,8,40,0.901
1.03,8,40,0.904
1.03,8,40,0.902
1.03,8,40,0.913
1.03,8,40,0.913
1.03,8,40,0.901
1.03,8,40,0.912
1.03,8,40,0.914
1.03,8,40,0.905
1.03,8,40,0.918
1.03,8,40,0.908
1.03,8,40,0.907
1.03,8,40,0.905
1.03,8,60,0.92
1.03,8,60,0.923
1.03,8,60,0.932
1.03,8,60,0.93
1.03,8,60,0.932
1.03,8,60,0.935
1.03,8,60,0.928
1.03,8,60,0.944
1.03,8,60,0.942
1.03,8,60,0.935
1.03,8,60,0.923
1.03,8,60,0.918
1.03,8,60,0.938
1.03,8,60,0.929
1.03,8,60,0.927
1.03,8,60,0.924
1.03,8,60,0.932
1.03,8,60,0.925
1.03,8,60,0.938
1.03,8,60,0.934
1.03,8,60,0.949
1.03,8,60,0.934
1.03,8,60,0.937
1.03,8,60,0.94
1.03,8,60,0.922
1.03,8,60,0.933
1.03,8,60,0.927
1.03,8,60,0.927
1.03,8,60,0.929
1.03,8,60,0.914
1.03,8,60,0.931
1.03,8,60,0.926
1.03,8,60,0.922
1.03,8,60,0.943
1.03,8,60,0.941
1.03,8,60,0.915
1.03,8,60,0.934
1.03,8,60,0.921
1.03,8,60,0.94
1.03,8,60,0.932
1.03,8,60,0.937
1.03,8,60,0.944
1.03,8,60,0.93
1.03,8,60,0.929
1.03,8,60,0.94
1.03,8,60,0.924
1.03,8,60,0.922
1.03,8,60,0.91
1.03,8,60,0.927
1.03,8,60,0.937
1.03,8,80,0.944
1.03,8,80,0.954
1.03,8,80,0.939
1.03,8,80,0.934
1.03,8,80,0.941
1.03,8,80,0.933
1.03,8,80,0.943
1.03,8,80,0.94
1.03,8,80,0.934
1.03,8,80,0.938
1.03,8,80,0.929
1.03,8,80,0.934
1.03,8,80,0.936
1.03,8,80,0.949
1.03,8,80,0.944
1.03,8,80,0.934
1.03,8,80,0.918
1.03,8,80,0.931
1.03,8,80,0.927
1.03,8,80,0.94
1.03,8,80,0.926
1.03,8,80,0.933
1.03,8,80,0.941
1.03,8,80,0.961
1.03,8,80,0.948
1.03,8,80,0.93
1.03,8,80,0.926
1.03,8,80,0.94
1.03,8,80,0.957
1.03,8,80,0.947
1.03,8,80,0.928
1.03,8,80,0.928
1.03,8,80,0.947
1.03,8,80,0.946
1.03,8,80,0.936
1.03,8,80,0.935
1.03,8,80,0.937
1.03,8,80,0.949
1.03,8,80,0.947
1.03,8,80,0.946
1.03,8,80,0.946
1.03,8,80,0.949
1.03,8,80,0.939
1.03,8,80,0.941
1.03,8,80,0.934
1.03,8,80,0.923
1.03,8,80,0.939
1.03,8,80,0.92
1.03,8,80,0.942
1.03,8,80,0.937
1.03,8,100,0.936
1.03,8,100,0.963
1.03,8,100,0.932
1.03,8,100,0.934
1.03,8,100,0.945
1.03,8,100,0.957
1.03,8,100,0.952
1.03,8,100,0.929
1.03,8,100,0.947
1.03,8,100,0.947
1.03,8,100,0.941
1.03,8,100,0.934
1.03,8,100,0.943
1.03,8,100,0.95
1.03,8,100,0.958
1.03,8,100,0.95
1.03,8,100,0.95
1.03,8,100,0.941
1.03,8,100,0.948
1.03,8,100,0.946
1.03,8,100,0.946
1.03,8,100,0.957
1.03,8,100,0.949
1.03,8,100,0.944
1.03,8,100,0.95
1.03,8,100,0.941
1.03,8,100,0.949
1.03,8,100,0.948
1.03,8,100,0.947
1.03,8,100,0.94
